Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4390413237,https://www.linkedin.com/jobs/view/4390413237,Pending,2026-03-28 12:23:15.689084,2026-04-11 12:23:15.773983,Found a Bad Word in About Job,"
About the job
Join the Team Behind Australia’s Greatest Racing Carnival!

Are you passionate about using data to shape meaningful customer experiences? Do you thrive in fast‑paced environments where insights drive strategy and impact? We’re looking for a curious, analytical and collaborative CRM Analyst to help us deliver world‑class experiences for members, guests and the broader community at the Victoria Racing Club.

At the VRC, we’re not just about race days — we’re about building memorable, personalised moments that deepen engagement and bring joy year‑round.

About the Opportunity
We’re seeking a data‑driven CRM Analyst to support the execution of our customer and member strategy through high‑quality analysis, insights and CRM operational excellence.
In this role, you will transform member and customer data into actionable insights, support targeted and effective communication campaigns, and contribute to a more personalised, customer‑led approach across the Club.

You’ll work closely with Membership, Marketing, Events, Digital and Commercial teams to optimise journeys, segment audiences, improve lifecycle communication and uncover opportunities that drive engagement, retention and long‑term value.

If you love turning data into stories, solving problems, and elevating customer experiences through insight — this role is for you.

What you'll be responsible for

Customer & Member Insights
Analysing customer behaviour, lifecycle stages and engagement patterns.
Building and maintaining segmentation models to support personalised experiences.
Identifying opportunities to improve acquisition, retention, engagement and lifetime value.
Providing reporting and insights that support operational and strategic decision making.
Campaign Support
Supporting the execution of targeted communications for members and customers.
Building segmented audience lists based on triggers, behaviour and lifecycle stages.
Ensuring communications align with tone, objectives and audience needs.
Assisting with major event‑related communications, including the Melbourne Cup Carnival.
Enablement & Operations
Maintaining CRM workflows, data fields, automations and campaign setup.
Optimising personalised journeys, lifecycle triggers and renewal programs.
Partnering with Digital and IT to resolve issues and validate data accuracy.
Monitoring campaign performance and advising on improvements.
Data Visualisation & Reporting
Creating dashboards and reports to visualise customer trends, funnels and behaviours.
Tracking lifecycle activity, churn indicators and engagement metrics.
Delivering insights that highlight risks, opportunities and business impact.
Data Governance & Integrity
Ensuring data quality and compliance with privacy requirements.
Supporting the maintenance of a single customer view.
Contributing to best‑practice data capture and usage workflows.
Cross‑Department Integration
Collaborating with Membership, Marketing, Events and Commercial teams to embed insights into planning and execution.
Supporting major event strategies, targeting and member growth initiatives.
Enhancing acquisition, retargeting and lookalike modelling using customer data.
Capability, Process & Adoption
Supporting uplift in CRM capability and data literacy across teams.
Contributing to documentation, training materials and process improvement.
Championing accurate data entry, structured workflows and customer‑first thinking.


What your background includes
Experience with CRM systems, customer data, segmentation or marketing automation.
Strong analytical skills with the ability to interpret and communicate insights.
Understanding of customer lifecycle stages and behavioural drivers.
Competence with reporting and visualisation tools (e.g., dashboards, analytics platforms).
Ability to work collaboratively with cross‑functional teams.
Commitment to data governance, structured processes and accuracy.
A proactive, curious and problem‑solving mindset.

About You
You’re an analytical thinker who brings curiosity, structure and a passion for understanding customer behaviour.

You enjoy problem solving and translating complex data into clear, actionable insights that support great decision making.

You communicate with clarity, collaborate naturally across teams, and take pride in delivering high‑quality work that supports a best‑in‑class member experience.
Highly organised and proactive, you bring a continuous‑improvement mindset and a commitment to data integrity.

Why Join the Club
Be part of delivering one of Australia’s most iconic cultural and sporting events.
Work with a passionate and supportive team dedicated to excellence.
Make a measurable impact on membership growth, engagement and customer experience.
Gain exposure to large‑scale event communications and high‑value customer strategies.
Help shape the future of how the VRC connects with members and racegoers.

How to Apply
When submitting your application, please include your résumé and any other supporting documents.

You must have the legal right to work in Australia.
Appointment to the role is subject to meeting the Victoria Racing Club’s employment requirements, which may include (but are not limited to) reference checks, a VEVO check, and a National Criminal History Check.
Only shortlisted candidates will be contacted.

Contains bad word ""iOS"". Skipping this job!
",Skipped,Not Available
4397747637,https://www.linkedin.com/jobs/view/4397747637,Pending,2026-04-06 12:23:20.240231,2026-04-11 12:23:20.279673,Required experience is high,"
About the job
Role: Business Analyst (Voice)
Type: Full time – Perm / Contract
Location: Sydney, AU
Status: Valid visa with full working rights

Must Skills: Business Analysis, Omni Channel Journeys, Process Mapping, User Stories, Jira, Backlog Management, Contact Centre, CX Platforms, Data Analysis, Stakeholder Management
Experience: 6+ years

Requisites:
Strong experience in process mapping and omni-channel journeys, including messaging, escalation, and handoff flows.
Ability to create detailed user stories and acceptance criteria for conversational and asynchronous journeys.
Act as a bridge between business and technology, translating requirements into technical and integration solutions.
Experience in backlog refinement, prioritisation, and dependency management using Jira.
Ability to represent customer, banker, and system perspectives in solution design.
Analyse performance metrics and engagement data to drive continuous improvement.
Gather, validate, and manage divisional requirements, sign-offs, and transition support.
Strong communication, stakeholder management, and collaboration skills.
Nice to Have:
Contact centre / CX platform experience.
Exposure to change management, training, and transition support.
Experience with data analytics and reporting tools.
Financial services domain experience.

Interested? Please apply, thanks for your interest and time.
To read about our privacy policy Link

Experience required 6 > Current Experience 4. Skipping this job!
",Skipped,Not Available
