Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4393226758,https://www.linkedin.com/jobs/view/4393226758,Pending,2026-03-31 13:06:47.766685,2026-04-01 13:06:47.830107,Asking for Security clearance,"
About the job
At Novabridge, ServiceNow isn’t one of many platforms, it’s our entire focus. We help organisations modernise how they operate across Source to Pay, CRM, ERP modernisation, and increasingly AI-enabled workflows, using ServiceNow as the backbone.

As a Technical Consultant, you sit at the heart of everything we deliver. You design, build, and shape high-quality ServiceNow solutions that solve real business problems for fantastic customers who value partnership over procurement. You’re not thrown tickets over a wall, and you’re not buried in generic managed services work, instead you’re trusted to think, advise, and build with purpose.

Unlike traditional IT managed service providers or large consulting firms, we work deeply, not broadly. Our teams stay close to customers, influence outcomes end-to-end, and take pride in elegant, sustainable solutions. Our Technical Consultants are more than developers they are technical advisors, delivery leaders, and future architects, growing alongside our clients as their platforms and ambitions evolve.

You’ll work across the full solution lifecycle, collaborate closely with architects and business consultants, and have space to innovate, mentor others, and sharpen your craft all while working remotely from anywhere in New Zealand.

If you’re passionate about ServiceNow, care about quality, and want to do meaningful work without the bureaucracy of big consulting or the grind of MSP life, Novabridge is a place where your impact genuinely matters.

Role Purpose
TCs work across the entire solution lifecycle from technical design through build, test, go-live and support. They apply technical and platform knowledge to design and build elegant ServiceNow solutions that solve real business problems. As they grow, they influence architectural decisions, mentor junior staff, and shape technical strategy on large engagements.

Location
Canberra, Sydney, Melbourne (will consider all locations, work from home, remote).

Preferred Security clearance NV1 – will consider baseline and Australian citizen

Key Responsibilities
1. Solution Design & Build
Configure and customise ServiceNow modules (e.g. ITSM, HRSD, ITOM, CSM).
Develop custom applications, integrations, UI policies, and client/server scripts.
Translate business requirements into secure, scalable, maintainable technical solutions.
Support solution design alongside architects and business consultants.
Conduct peer code reviews and contribute to reusable asset libraries.

2. Implementation & Project Delivery
Deliver solutions across full implementation lifecycle, from sprint planning through to go-live.
Support and guide off-shore developers, ensuring consistency and quality.
Participate in daily stand-ups, demos, retrospectives, and QA checkpoints.
Lead resolution of technical issues, bugs, and performance challenges.

3. Client Engagement & Communication
Advise clients on platform capabilities and design alternatives.
Support workshops, user story elaboration, and demos.
Deliver training and handover documentation to admins and end users.
Assist in scoping and estimates for new work, including pre-sales engagements.

4. Quality Assurance & Documentation
Perform unit and system testing; support QA teams during test cycles.
Document technical solutions including design decisions and release notes.
Proactively highlight technical risk and propose mitigations.
Follow and contribute to Novabridge coding and design standards.

Key Performance Indicators (KPIs)
Build quality and defect rate (unit test pass/fail, QA results)
On-time delivery of stories and tasks
Peer and client feedback on collaboration and responsiveness
Contribution to reusable components or process improvement
Platform performance and maintainability of delivered solutions

Tools & Technical Environment
Platforms: ServiceNow ITSM, HRSD, ITOM, SPM, App Engine
Languages: JavaScript, Glide, REST/SOAP, HTML, CSS
Tools: Studio, Flow Designer, IntegrationHub, Script Includes, ATF
DevOps: Git, Agile boards (Jira), CI/CD concepts

Development & Learning
Novabridge supports structured QA career development through:
Structured certification roadmap: CSA → CAD → Specialist Certs – eventually become an architect or solution consultant
Peer mentoring and project rotations for exposure to new modules
Participation in architecture reviews and innovation showcases
Continuous learning through ServiceNow Learning Hub and internal CoPs

We’d Love to Hear from you
Please send us your CV/Resume, we are interested to hear about your development experience, where have you worked, with what programming languages, how many years' experience have you had as a ServiceNow Developer, and do you hold any ServiceNow Certifications.

 

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
4391959524,https://www.linkedin.com/jobs/view/4391959524,Pending,Unknown,2026-04-01 13:08:25.417215,Found Blacklisted words in About Company,Failed to find an element with given classes,Skipped,Not Available
